ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
I160L8	m	11/07/2015		30/10/2015			0L8	Remove	S	2016	
I165K3	m	11/07/2015					5K3	IN CS	F	2016	
I1668V	m	11/07/2015					68V	IN CS	F	2016	
I166D9	f	11/07/2015					6D9	IN CS	KK	2016	
I167L7	m	12/07/2015					7L7	IN CS	HH	2016	
I165I9	f	13/07/2015	27/07/2015				5I9	Dead	HH	2016	
I161N9	f	13/07/2015					1N9	IN CS	MM	2016	
I162N6	m	13/07/2015					2N6	IN CS	F	2016	
I169A4	f	13/07/2015					9A4	IN CS	F	2016	
I165B4	m	14/07/2015	16/09/2015				5B4	Dead	HH	2016	
I166J4	f	14/07/2015					6J4	IN CS	S	2016	
I162I3	f	15/07/2015					2I3	IN CS	V	2016	
I164D8	m	15/07/2015					4D8	IN CS	KK	2016	
I161M4	f	17/07/2015					1M4	IN CS	R	2016	
I162M0	m	17/07/2015					2M0	IN CS	R	2016	
I1690T	m	17/07/2015					90T	IN CS	V	2016	
I1624V	m	18/07/2015	23/07/2015				24V	Dead	KK	2016	
I160G5	m	18/07/2015					0G5	IN CS	F	2016	
I161I5	m	18/07/2015					1I5	IN CS	V	2016	
I162F0	m	18/07/2015					2F0	IN CS	R	2016	
I168L8	m	19/07/2015		01/12/2015			8L8	Remove	R	2016	
I160J5	f	19/07/2015					0J5	IN CS	KK	2016	
I167E0	f	19/07/2015					7E0	IN CS	HH	2016	
I164F5	m	20/07/2015					4F5	IN CS	R	2016	
I164I4	m	20/07/2015					4I4	IN CS	R	2016	
I166C5	f	20/07/2015					6C5	IN CS	MM	2016	
I168L3	m	20/07/2015					8L3	IN CS	KK	2016	
I164I5	m	20/07/2015	16/08/2016				4I5	Dead	R	2016	
I162J5	f	21/07/2015	08/09/2015				2J5	Dead	R	2016	
I169N3	m	21/07/2015					9N3	IN CS	F	2016	
I160E2	f	22/07/2015					0E2	IN CS	R	2016	
I1628G	f	22/07/2015					28G	IN CS	MM	2016	
I162E1	f	22/07/2015					2E1	IN CS	MM	2016	
I163C3	m	22/07/2015					3C3	IN CS	F	2016	
I166K6	m	22/07/2015					6K6	IN CS	KK	2016	
I167N5	u	23/07/2015	23/07/2015				7N5	Dead	V	2016	
I1698T	m	23/07/2015	04/08/2015				98T	Dead	F	2016	
I1632S	m	23/07/2015	13/08/2015				32S	Dead	F	2016	
I1662R	m	23/07/2015					62R	IN CS	KK	2016	
I169H7	f	23/07/2015					9H7	IN CS	F	2016	
I165N0	f	24/07/2015		10/11/2015			5N0	Remove	HH	2016	
I161L1	f	24/07/2015					1L1	IN CS	KK	2016	
