ID	YEAR	IDyear	GROUP	SEX	RANK	ORD_RANK	%DOMINATED
61D	2012	61D2012	F	M	22	L	29.03225806
61J	2012	61J2012	F	F	34	L	42.37288136
62H	2012	62H2012	F	F	11	H	81.3559322
62V	2012	62V2012	F	F	52	L	11.86440678
63V	2012	63V2012	F	F	44	L	25.42372881
64D	2012	64D2012	F	F	42	L	28.81355932
64P	2012	64P2012	F	F	16	M	72.88135593
6B2	2012	6B22012	F	M	24	L	22.58064516
6C0	2012	6C02012	F	F	6	H	89.83050847
73B	2012	73B2012	F	F	25	M	57.62711864
74S	2012	74S2012	F	F	53	L	10.16949153
79Z	2012	79Z2012	F	F	29	M	50.84745763
7B3	2012	7B32012	F	M	9	M	70.96774194
7B7	2012	7B72012	F	F	45	L	23.72881356
7C0	2012	7C02012	F	F	22	M	62.71186441
80T	2012	80T2012	F	M	25	L	19.35483871
82A	2012	82A2012	F	F	5	H	91.52542373
82L	2012	82L2012	F	F	17	M	71.18644068
87K	2012	87K2012	F	F	48	L	18.6440678
88I	2012	88I2012	F	F	23	M	61.01694915
88T	2012	88T2012	F	M	16	L	48.38709677
8A7	2012	8A72012	F	M	8	M	74.19354839
8B0	2012	8B02012	F	F	38	L	35.59322034
8B5	2012	8B52012	F	M	23	L	25.80645161
90D	2012	90D2012	F	F	32	L	45.76271186
92D	2012	92D2012	F	F	12	H	79.66101695
93Z	2012	93Z2012	F	F	57	L	3.389830508
96B	2012	96B2012	F	M	3	H	90.32258065
96Z	2012	96Z2012	F	M	5	H	83.87096774
98T	2012	98T2012	F	F	7	H	88.13559322
K00	2012	K002012	F	F	14	M	76.27118644
O52	2012	O522012	F	F	21	M	64.40677966
V83	2012	V832012	F	M	12	M	61.29032258
X44	2012	X442012	F	F	43	L	27.11864407
Z46	2012	Z462012	F	M	31	L	0
00J	2013	00J2013	F	F	51	L	22.72727273
00O	2013	00O2013	F	F	32	M	51.51515152
03J	2013	03J2013	F	F	58	L	12.12121212
04I	2013	04I2013	F	M	5	H	88.88888889
04N	2013	04N2013	F	F	11	H	83.33333333
04Z	2013	04Z2013	F	M	9	H	80
07D	2013	07D2013	F	M	1	H	100
0A4	2013	0A42013	F	F	15	M	77.27272727
0A9	2013	0A92013	F	F	57	L	13.63636364
0B8	2013	0B82013	F	M	6	H	86.66666667
0C6	2013	0C62013	F	F	49	L	25.75757576
12Z	2013	12Z2013	F	M	11	M	75.55555556
17C	2013	17C2013	F	F	9	H	86.36363636
17L	2013	17L2013	F	M	30	L	33.33333333
18Z	2013	18Z2013	F	M	16	M	64.44444444
1A3	2013	1A32013	F	F	45	L	31.81818182
1C0	2013	1C02013	F	F	20	M	69.6969697
20F	2013	20F2013	F	F	39	L	40.90909091
22R	2013	22R2013	F	M	10	M	77.77777778
24B	2013	24B2013	F	F	63	L	4.545454545
28B	2013	28B2013	F	M	7	H	84.44444444
28J	2013	28J2013	F	F	64	L	3.03030303
29B	2013	29B2013	F	F	56	L	15.15151515
29H	2013	29H2013	F	M	20	M	55.55555556
2A7	2013	2A72013	F	F	36	L	45.45454545
2A8	2013	2A82013	F	F	22	M	66.66666667
2C9	2013	2C92013	F	M	25	L	44.44444444
3E1	2013	3_E12013	F	M	28	L	37.77777778
3E2	2013	3_E22013	F	F	8	H	87.87878788
3E4	2013	3_E42013	F	M	29	L	35.55555556
30C	2013	30C2013	F	M	3	H	93.33333333
30L	2013	30L2013	F	M	26	L	42.22222222
30Z	2013	30Z2013	F	M	31	L	31.11111111
31S	2013	31S2013	F	M	27	L	40
32S	2013	32S2013	F	F	23	M	65.15151515
34N	2013	34N2013	F	F	41	L	37.87878788
35N	2013	35N2013	F	F	61	L	7.575757576
36Z	2013	36Z2013	F	F	53	L	19.6969697
3B9	2013	3B92013	F	M	22	M	51.11111111
3C3	2013	3C32013	F	F	43	L	34.84848485
40L	2013	40L2013	F	F	35	L	46.96969697
42L	2013	42L2013	F	F	48	L	27.27272727
42T	2013	42T2013	F	M	12	M	73.33333333
43F	2013	43F2013	F	F	1	H	100
43J	2013	43J2013	F	F	3	H	95.45454545
43P	2013	43P2013	F	M	2	H	95.55555556
43V	2013	43V2013	F	M	14	M	68.88888889
44J	2013	44J2013	F	F	21	M	68.18181818
4C1	2013	4C12013	F	F	4	H	93.93939394
4C2	2013	4C22013	F	F	52	L	21.21212121
4G6	2013	4G62013	F	M	34	L	24.44444444
50C	2013	50C2013	F	M	35	L	22.22222222
50I	2013	50I2013	F	F	33	M	50
50P	2013	50P2013	F	M	33	L	26.66666667
50S	2013	50S2013	F	F	25	M	62.12121212
55V	2013	55V2013	F	F	40	L	39.39393939
56E	2013	56E2013	F	F	28	M	57.57575758
57H	2013	57H2013	F	F	42	L	36.36363636
59A	2013	59A2013	F	F	18	M	72.72727273
59A	2013	59A2013	F	M	36	L	20
5B0	2013	5B02013	F	M	18	M	60
5C0	2013	5C02013	F	F	2	H	96.96969697
5C0	2013	5C02013	F	M	37	L	17.77777778
5D2	2013	5D22013	F	M	32	L	28.88888889
60E	2013	60E2013	F	M	38	L	15.55555556
60P	2013	60P2013	F	F	12	H	81.81818182
60T	2013	60T2013	F	M	15	M	66.66666667
60V	2013	60V2013	F	M	39	L	13.33333333
61D	2013	61D2013	F	M	40	L	11.11111111
61J	2013	61J2013	F	F	37	L	43.93939394
62H	2013	62H2013	F	F	13	H	80.3030303
62V	2013	62V2013	F	F	54	L	18.18181818
63V	2013	63V2013	F	F	46	L	30.3030303
64D	2013	64D2013	F	F	38	L	42.42424242
64P	2013	64P2013	F	F	19	M	71.21212121
68V	2013	68V2013	F	F	65	L	1.515151515
69I	2013	69I2013	F	M	41	L	8.888888889
6B2	2013	6B22013	F	M	42	L	6.666666667
6C0	2013	6C02013	F	F	7	H	89.39393939
73B	2013	73B2013	F	F	29	M	56.06060606
74S	2013	74S2013	F	F	55	L	16.66666667
